序号,名称,描述,类型,长度
0,Name,母线名称,STRING,256
1,TopoBus,拓扑母线,INTEGER,4
2,IbrankMax,支路最大短路电流(A),DOUBLE,4
3,IbraneMax,支路最大负荷电流(A),DOUBLE,4
4,IkMin,最小短路电流(A),DOUBLE,4
5,Kunbrel,整定:不平衡电流可靠系数,DOUBLE,4
6,Kbrkrel,整定:二次断线可靠系数,DOUBLE,4
7,Faultunb,整定:外部短路故障整定不平衡电流(A),INTEGER,1
8,Ikop,外部短路计算不平衡电流(A),DOUBLE,4
9,Ilop,最大负荷计算不平衡电流(A),DOUBLE,4
10,Ioop,躲避二次断线差动保护整定电流(A),DOUBLE,4
11,Ikdz,过流保护整定电流(A),DOUBLE,4
12,Ksen,校核:差动保护灵敏系数,DOUBLE,4
13,BusPtr,母线索引,INTEGER,2
