序号,名称,描述,类型,长度
0,Name,并联电容器名称,STRING,256
1,TopoBus,拓扑母线,INTEGER,4
2,Rate,额定电流(A),DOUBLE,4
3,IkMax,最大短路电流(A),DOUBLE,4
4,IkMin,最小短路电流(A),DOUBLE,4
5,Kkrel2,整定:延时电流速断保护可靠系数,DOUBLE,4
6,Kkrel3,整定:过流保护可靠系数,DOUBLE,4
7,Kkres3,整定:过流保护返回系数,DOUBLE,4
8,Ikdz2,延时电流速断整定电流(A),DOUBLE,4
9,Ikdz3,过流保护整定电流(A),DOUBLE,4
10,Ksen2,校核:延时电流速断灵敏系数,DOUBLE,4
11,Ksen3,校核:过流保护灵敏系数,DOUBLE,4
12,CapPtr,并联电容器索引,INTEGER,2
