序号,名称,描述,类型,长度
0,GenP,岛发电(兆瓦),DOUBLE,8
1,LoadP,岛负荷(兆瓦),DOUBLE,8
2,HVDCP,直流功率(兆瓦),DOUBLE,8
3,BusNum,岛内母线数,INTEGER,4
4,SwingBus,平衡节点,INTEGER,4
5,Dead,死岛,INTEGER,1
