序号,名称,描述,类型,长度
0,Name,名称,STRING,32
1,BusAC,交流节点名称,STRING,32
2,BusDC,直流节点名称,STRING,32
3,SchedPower,安排的功率(MW),DOUBLE,4
4,Type,变换器类型,INTEGER,1
5,Rerr,故障率(次/年),DOUBLE,8
6,Rrep,修复率(次/年),DOUBLE,8
7,Trep,修复时间(小时/次),DOUBLE,8
8,GoodProb,完好概率,DOUBLE,8
9,FailProb,故障概率,DOUBLE,8
10,IRt,实际值,DOUBLE,8
11,IMax,下限值,DOUBLE,8
12,IMin,上限值,DOUBLE,8
13,RerrMax,故障率上限值,DOUBLE,8
14,RerrMin,故障率下限值,DOUBLE,8
15,FaultFreq,故障次数(次),INTEGER,4
16,ACBusPtr,交流节点索引,INTEGER,4
17,DCBusPtr,直流节点索引,INTEGER,4
18,Outage,停运,INTEGER,1
